# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_npc9_retirement_speech|We have fought well together, and earned ourselves much glory. But I have some reservations about your leadership, and at any rate have my patrimony to reclaim. I will be leaving you. Perhaps we will meet again.
str_npc10_retirement_speech|I've had enough of travelling all over this Galaxy. I've got enough to buy a small bit of land somewhere, so I think I'll give that a try. So long, and best of luck to you.
str_npc11_retirement_speech|You did an old woman a great service by taking her into your company. But I'm afraid I'm finding this life no more to my liking than driving a wagon. Too much cold, too much hunger, and at the end all I see in front of me is a hole in the ground. So I'll be off, although I don't know where.
str_npc12_retirement_speech|I've done all right in your company. I filled my belly, put some gold in my purse, and broadened my knowledge of wounds and injury -- I can't complain about that! But I think right now that service in this company is holding me back. I have a duty to share my findings with other surgeons, and for that I need to hire scribes, who are rare in the Galaxy. I shall be going home
str_npc13_retirement_speech|As the luster of your name grows ever brighter, I fear that my own reputation will seem pale in comparison, as the moon is outshined by the sun. I have decided to strike out on my own. The very best of luck to you!
str_npc14_retirement_speech|I would like to inform you that I wish to sever our relationship. I intend to seek alternative employment.
str_npc15_retirement_speech|I appreciate that you took me on, but I'm not altogether happy about how things have worked out. I'm going to head off elsewhere -- maybe go home, maybe find another job, I haven't quite decided yet.
str_npc16_retirement_speech|I've had good times in this company, and I've found myself a pretty trinket or two on the battlefield, but right now it isn't working out. I'm leaving you to go offer my talents to someone else.
str_npc17_retirement_speech|npc17 retirement speech
str_npc18_retirement_speech|npc18 retirement speech
str_npc1_rehire_speech|Boss -- it's good to see you again. I know we had our differences in the past, but to tell you the truth, those were some of the best days I've known. And, to tell you the truth, I've had a bit of difficulty finding work. Listen, if you'd be willing to have me back, I'd be willing to sign up with your company again.
str_npc2_rehire_speech|{Sir/Madame}! It's good to see you again. But I'll confess -- I've been looking for you. I bought a load of goods like I told you I would, loaded them up, and took them back across the steppe -- but wouldn't you know it, I was hit again by Khergits, and lost it all. I guess I'm just destined to fight for my fortune. Also, people tell me that you've done very well for yourself. So tell me, {sir/madame}, would you have me back?
str_npc3_rehire_speech|Well, hello {sir/madame}! It is very good to see you again. I have not fared so well since we parted, I am afraid. My mother's family. whom I hoped would give me a start in trading, have not been as welcoming as I have hoped. I receive nothing but lectures from my aunts, on how I have ruined my prospects for marriage by taking service in a mercenary company. Perhaps I am better suited to war than to commerce, to share a meal over a campfire with rough fellows than to drink wine with the burghers of Veluca. {Sir/Madame}, I must ask you -- will you take me back?
str_npc4_rehire_speech|Why hello, captain. It's been a while. You've done well for yourself, I hear. For my part, I've been having some difficulties coaxing a living from my estates -- locusts, bad rains, unruly serfs, that sort of thing. I thought I might take up the sword once more. I know there's been some bad blood between us, but I'd be honoured to fight in your ranks once again.
str_npc5_rehire_speech|{playername} Bahadur! Your fame grows ever greater -- even as far as my homeland, beyond the mountains. I'd returned there, hoping that the Khan's men had forgotten. Well, they had not -- even before I set foot in my valley, I had word from my family that both the Khan and the Humyan were looking for me. So I came back again, hoping you might forget any harsh words I had spoken, to see if I could fight with you once again.
str_npc6_rehire_speech|It is good to see you, {sir/madame}. Everywhere I go, men are in awe of your deeds. I have not had it so well since I left. Wherever I go, I feel my demons returning. My soul is in turmoil. For reasons that I cannot fully explain, I had found peace in your company, even if I had questions about your leadership. Will you allow me to serve with you once again?
str_npc7_rehire_speech|Captain! It is good to see you. Forgive what I may have said when we parted. I took a ship out of Wercheg, bound for the east, but it was taken by pirates and after my ransom I was set ashore back here. There may be better places in the world than that planet, but I have yet to see them. So I think, if it is my lot to live here, then your company is as good a livelihood as any. Will you have me back?
str_npc8_rehire_speech|Greetings to you, {playername}. I was wondering if the harsh words spoken between us in the past could be forgotten. I have been hunting among the Nords here, to see if I could find enough men to take back my husband's hall. But I could not find enough men to crew a longship, and those whom I gathered quickly got bored and wandered off -- not, I will add, before they drank away such gold as I had accumulated. So I thought back to the battles we fought together. Those were good days, and profitable ones too.
str_npc9_rehire_speech|My dear, dear {man/lady}! So good it is to see you! I have sought service with the lords of this land, but have been most grieviously disappointed. Half of them ask me to collect debts from fellow lords, as though I were a banker's errand boy, or chase down his serfs, as though I were a farm overseer. One even asked me to murder one of his creditors! I have looked for you, to see if you would wish me to join you again.
str_npc10_rehire_speech|Captain! It's good to see you. You see, it turns out I'm not much of a farmer. Too soft on the hired hands, I figure. I let them rob me blind. I guess fighting is what I know best. So tell me, captain, are you still looking for good men?
str_npc11_rehire_speech|Captain! So good to see you! People say that you've been making gold hand over foot. I'm a fidgety old bag of bones, I'll admit. I left you because I wasn't satisfied with the warrior's life, but I spend a bit of time on planet and I realize that there's worse things in life than a full belly, honest companions, and the joy of seeing the enemy run before you. So, would you be hiring again
str_npc12_rehire_speech|Captain! It's a fine thing to see an honest face like yours. This world is full of lies. I went home to publish my findings, hired some scribes and made a handful of codices, and waited for the commissions. But it turns out that the universities don't care about real medical knowledge rather than warmed-over Galerian. And publishers -- let me tell you, you never saw anyone so unscrupulous. They rent the books out chapter to by chapter to students to copy, but half of them aren't returned, and those that are have pages soaked in wine, and there's no longer a complete copy of my work anywhere. I'll keep trying, but first I need a bit of money in my pocket, first. Are you looking for a surgeon?
str_npc13_rehire_speech|Well hello there, oh valorous one. I had been hoping to see you again. Everywhere I go, I hear tales and songs of your deeds. I will admit that I felt a twinge of regret that we had parted ways, and, I'll confess, a twinge of jealousy as well at your reputation. I thought that once again I might fight by your side, and thus bask in the reflection of your glory. Perhaps we might ride together again, for a little while?
str_npc14_rehire_speech|Captain. It is good to see you. When last we parted, I was ready to swear that I would not serve you again, but perhaps I judged you too harshly. All over the Galaxy, men sing your praises. I have tried serving in other lords' armies, and believe me, what I have seen of them restores my opinion of your leadership. If you would have me in your company, I would fight for you again.
str_npc15_rehire_speech|Why hello, {playername}. I can't say I'm entirely displeased to see you. You see, I took on another contract before I left, and sure enough, when it came time to collect the pay, the lord had nothing but talk and excuses and petty little complaints about my handiwork. I can't say I was always happy in your company, but at least I put gold directly into my purse after every battle. You still offering work?
str_npc16_rehire_speech|Captain! They say that you've done well for yourself since we last met. I'll come out and admit that I cursed your name when we parted ways, but thinking back on it you weren't all that bad. All these lords, they're glad enough to send me on little side errands, but they don't much care to have me in their main battle-line. Apparently I spook the men. I've heard it muttered that I'm a witch, or that I eat men's hearts after killing them, or other rot. Not that I mind stabbing a man while he's asleep, but it's a lot more gratifying when he's awake and kicking. So I thought I'd try to find you again, see if you'll take me on.
str_npc17_rehire_speech|npc17 rehire speech
str_npc18_rehire_speech|npc18 rehire speech
str_npc1_home_intro|Mandalore. Right up ahead. You'll not find a people more devoted to war.
str_npc2_home_intro|Ah, yes, Mandalore.  An interesting people live there, certainly.
str_npc3_home_intro|Up ahead, that planet Endor.  It's one of the most interesting trading posts you'll ever see.
str_npc4_home_intro|Captain, we're approaching the site of one of my greatest triumphs of piloting.
str_npc5_home_intro|Tatooine.  That's where I got my start, you know.
str_npc6_home_intro|I couldn't help but notice that the sensors show we are approaching Corellia.  If we land, I must stay on the ship.
str_npc7_home_intro|Sernpidal's coming up on the scanner.  That's my homeworld, you know.
str_npc8_home_intro|Watch the scanners.  This is pirate space.
str_npc9_home_intro|Yavin, hm? I hear the Rebels have a base there. They think it's a secret, but I know quite a few things people think are secrets.
str_npc10_home_intro|That's Dathomir, up ahead. A beautiful planet, all the more beautiful when you consider it was the site of one of my greatest battles.
str_npc11_home_intro|Watch for gravitational anomalies, captain, and keep an eye on our six. We're nearing Kessel.
str_npc12_home_intro|Kashyyyk! That's where I'm from! Hey, captain, we're near my home!
str_npc13_home_intro|Captain, there's something I've been meaning to tell you.
str_npc14_home_intro|Well, captain, there it is. Hoth. The coldest, deadest rock anyone out there calls home.
str_npc15_home_intro|We're nearing Cloud City now. The Bespin system, if you're unfamiliar.
str_npc16_home_intro|Well, we're coming up on Mon Cal, home of the fishheads and the squids.  Of course, they don't much appreciate being called either, but between you and me that's what they are.
str_npc17_home_intro|npc17 home intro
str_npc18_home_intro|npc18 home intro
str_npc1_home_description|One of their kind, Jango Fett--he was the template for the original clone troopers.  Back in the clone wars, back when you cold tell who was a droid and who was a clone and that was that when it came to war.  Things are different now, of course.  Nothing stops an Imperial thug or a Rebel terrorist from painting up his ship with the wrong colors and massacring a settlement to whip up anger at the other side.
str_npc2_home_description|Back when I was a general for the Republic, I had more than a few hired on as mercenaries.  I only hired mercenaries, you know.  I could trust the Mandalorians, because they were clear about what they wanted: glory and a paycheck, and I knew I could give them both.  But their vat-born cousins, the clones...they didn't seem right to me. I refused to employ any of them in my unit. All they wanted was to obey their training, and frankly I don't trust any soldier, flesh or mechanical, who obeys commands other than the ones I pay them to follow.
str_npc3_home_description|Outside the little trader's stop there, it's populated by these tiny, fuzzy things, like a cross between a human and a Kessel rat. My father used to tell me of his days as a trader, when he would stop there to swap bantha meat for the little things' furs.  Oh, I do hope they only took the furs off the ones who were already dead!
str_npc4_home_description|I was piloting an Action IV bulk freighter through an asteroid belt, when suddenly my warning lights go off left and right, and I look and see that I've got two Z-95s directly on my tail.  See, our escort was scouting far ahead, and the headhunters must have slipped around behind us. Well, I know I'm outgunned badly, but I'm traveling at a good speed, while they're starting from nearly a dead stop.  So I make for this planetoid, right?
str_npc5_home_description|The Krayt Dragon, they called me.  And while I appreciated all the praises of the Gamorreans I fought, I respected the praises of the Tatooineans more.  It's a harsh planet.  I mean, sure, a Gamorrean boar can punch through a durasteel wall, but they're coddled little things happy to wallow around in pools and fight for fun.  But they have no discipline.  They wouldn't last an hour out in the Tatooine wastes.  Out there in the sands and the burning winds and the glare of the suns, survival is a constant fight.
str_npc6_home_description|You see, I had many friends who also joined up with CorSec, and they all think I'm tragically dead.  I know the odds are low we'd bump into one, but if we did, I'd have to answer some questions I'd rather not.  Don't get me wrong, captain, we're perfectly safe to land, since my ID is clean.  But I haven't changed my face, and I'd rather as few people here see it as possible.
str_npc7_home_description|It's a barren world, poor and rocky. But we're a resilient people. We could withstand just about anything the skies throw at us.  Heh, well, anything but the moon crashing down or something, but what are the odds of something like that happening?  Nah, we've made a nice homeworld there, and so long as the war stays away, I think we'll continue to do just fine.
str_npc8_home_description|The lanes here aren't patrolled, as the result of some border dispute. I can't quite remember the particulars. Most of the pirates here are Duros, though, I know that. I tried learning the craft of bounty hunting under one of them, but I could barely understand a word he said.
str_npc9_home_description|You pick up on these things when your father sells hyperspace drive cores to anyone with the credits. He made trillions doing it. Trillions. He could buy a planet. For all I know, he has. And that should be mine.
str_npc10_home_description|I don't quite remember why I fought there. It was for the Republic, something about a temple, not that I cared. But the battle, captain, the battle! I fought not droids or hired thugs, but witches, hidden in the mires, mounted on great rancors. We were there, my company and I, on the far right of a battle line of two battalions of clones. Suddenly, behind us, we heard trees shattering. We knew they were trying to turn our flank. A hundred Rancors were bearing down on us!
str_npc11_home_description|Kessel's my home, as much as any place is. I was born there, and there I was a life servant to a spice-lord's son. My father worked in the mines, and my mother tended to the slave children. My job there wasn't the worst by far; the boy often treated me poorly but was not an inhumane sort, and I confess I liked him. He was like a brother and a husband to me, though I had no choice in the matter. I don't know why he sold me. Perhaps he grew tired of me. Perhaps he intended to take a wife, and his chosen didn't understand what I was. I was confused, and I was heartbroken.
str_npc12_home_description|Yeah, only Wooks come from Kashyyyk, I know what you're thinking, and you're right that most of the planet is covered by those big trees and the hairy things that live in 'em.  But no planet's of one type only, captain, just like no nerf is the same color all the way 'round. Up nearer to the poles, the trees are small and hardy grasses grow. And if you don't mind the chill at night, well, I promise you the nerfs won't notice a thing.
str_npc13_home_description|See, I've sold a lot of, er, what I called 'upgrades' to a lot of captains and a lot of mechanics throughout the years. And though I don't remember selling to you, I do recognize my own handiwork when I see it, and, well...I should say that you should probably ease up on the hyperdrive until I can install something a little less, er, shall I say experimental. 
str_npc14_home_description|I trained a company of mercs there a few years back. They went in a bunch of fat, lazy banthas, Five hundred of 'em. Only three hundred of 'em came out, they were a lean, cohesive, and vicious three hundred.
str_npc15_home_description|The only planet of any note in the system is a gas giant, but there's a particularly interesting refinery there. Cloud City, they call it. It's not an economic powerhouse, but its architecture is quite astounding. The city is clearly recently built, for there are some Imperial influences in its edifaces. But yet the tall towers that dot her disc are clearly influenced by traditional Naboo design, and her spires and factory design are neoclassic Alderaan. And yet the whole, from a distance, reminds me of a Mon Cal design.
str_npc16_home_description|I once got hired to hunt a fishhead in Coruscant. That might not sound particularly hard, sure. But before I could get a plan together, he'd hopped a freighter headed back home to this big puddle. Now I do not let prey escape me, captain. I acquired access to a military transport, and I was in Mon Cal before he was. I didn't want him to get in the water, you see, because first there's no shadows or corners to hide me, and second I'm not built for water and fishheads are.
str_npc17_home_description|npc17 home description
str_npc18_home_description|npc18 home description
str_npc1_home_description_2|But the Mandos, they don't go for any of that.  Sure, they'll gladly butcher your family, but they'll make damn sure you know it was them that did it. Since violence is a given nowadays, I can at least respect the honesty.
str_npc2_home_description_2|Most Jedi learned of the Purge when they got a clone's blaster bolt in their back.  But my real, Mandalore-born soldiers stayed loyal to me.  I may not like war, but I can tell you that when it comes, the men and women from that planet are as trustworthy as any you will ever meet.
str_npc3_home_description_2|But now...I feel a very strange presence.  There's something here.  Something terrible, something mechanical...something dark and horrid...but...but...with a flicker of light inside it...no...it's gone.  How strange!  I wonder what that was all about.
str_npc4_home_description_2|By the time I reached the big rock, they were sitting dead on my tail, raking me with fire. All the blown-off bits of scrap metal must have been playing hell with their sensors, though, or maybe they just weren't paying attention to anything but their laser tracking, because when I scraped the armored belly of my ship against that rock, I slowed down right quick...and they didn't. One plowed into my stern, the other veered off at the last second, but lost control and slammed into an asteroid. My freighter was in a bad state, but better than if she was in the hands of pirates.
str_npc5_home_description_2|Fighting isn't something they do for fun, or for honor.  They fight, because that's what Tatooine is. It's a fight, a fight for survival. Everyone there is a veteran of every day they live. I'd put a Tatooine farm boy up against a Gamorrean champion any day. Hell, I'd have spent my whole career in the pits there, if it weren't for the fact that nobody on that sandy rock has two credits to their name.
str_npc6_home_description_2|Corellians are a proud people, with a strong sense of duty. Honorable service is rewarded well, and dereliction of duty...well...let's just say I'll stay on the ship, and that's that.
str_npc7_home_description_2|As for me?  As a young girl, I left to go to Coruscant to study, and there I met my Sothan.  He was just a attendant to the Representative from Fondor then, but I could see the spark of greatness in his eyes...ah, but that was a different time.
str_npc8_home_description_2|I should have known there I wasn't cut out for bounty hunting, but I wasn't about to give up on the family trade so soon. My mum is the best bounty hunter in the Duro system, and I planned on following her. I've got her eye, all right, but it turns out I've got the brains of my dad.  We're not dumb, mind you, but specifics and particulars don't stay in there quite so long as they do with other folk.
str_npc9_home_description_2|Well, let me tell you, it will be mine. Once we're done campaigning together, I'll take what I've learned and what I've earned and raise up a little army of my own. Won't the fat board members be surprised when I burst into one of their little meetings, and dictate terms of my full and complete takeover!
str_npc10_home_description_2|The first one to come was their war-mother, dressed in paints and shrieking fiercely. Her beast reared back and roared, as she threw a thermal detonator right down at my fireteam. I still don't know how I did it, but I drew a bead and fired clean into her grenade with my pistol. That knocked it back as it detonated, right into the rancor's gullet. That moment, the flash when the bolt hit the detonator, captain, that's why we fight. That's why we live.
str_npc11_home_description_2|I suppose it wasn't a great life I had at Kessel, but it wasn't terrible. I was sheltered from the bitter darkness of the mines, and from the hands of pirates. I was safe and had a warm bed, and my duties were mostly easy and sometimes enjoyable. I did not resent him as you might think I would. While I would rather live a day as a free woman than a century as a slave, for a girl born into slavery, my lot was the best I could have hoped for.
str_npc12_home_description_2|But everybody thinks Kashyyyk is nothing but Wookiees, just because that's the way most of it is. Well, as any nerf-herder knows, if you just trust what most people think about most of something, and assume that mean all of that something is that way, then you've shut off your brains, and frankly, you're even dumber than a nerf.  That's what I think, anyway.
str_npc13_home_description_2|Don't worry, though, captain.  We're not at any risk or anything.  I'm sure that it's completely harmless. But...just do be safe, okay?  I promise I'll remove it as soon as we land next, and put everything right again.
str_npc14_home_description_2|Harsh climates like those, they send the cowards and weaklings who have no business anywhere near an army running back for the safety of home. If you ever find yourself needing to turn a rabble into an army, then that windswept rock of ice and snow is the best place I can think of.
str_npc15_home_description_2|It's well worth a visit if you have an interest in architecture, captain. I've not found a more interesting city in the galaxy.
str_npc16_home_description_2|After I disembarked, I checked the docking schedules and found I was two hours ahead of schedule. Happily, I learned his spawnling would be there to greet him. I tracked it down, and making like I accidentally bumped into the tot, I affixed a very small, poisoned needle to its forehead. Imperceptible, but very sharp. One paternal hug later, the job was done. It was beautiful, captain, and I don't like to praise my own work.
str_npc17_home_description_2|npc17 home description 2
str_npc18_home_description_2|npc18 home description 2
str_npc1_home_recap|I was an Imperial.  Then I found some things I didn't want to find, and I realized I'm the only one worth looking out for.
str_npc2_home_recap|I'd rather keep most of it to myself, to be honest.
str_npc3_home_recap|I'm the daughter of a merchant, but that's not very exciting at all.
str_npc4_home_recap|I'm from Coruscant, and I spent my youth in the flight simulators.
str_npc5_home_recap|I was born on Reecee, learned to fight on Tatooine, and spent most of my career on Gamorr.
str_npc6_home_recap|I'm a Corellian, pure-blooded and proud of it.
str_npc7_home_recap|I could have sworn I told you this already.
str_npc8_home_recap|I'm from Duro. I don't quite remember how my family got there, but they're there regardless.
str_npc9_home_recap|My story is as engrossing as any you'll hear in a holovid, full of triumph and betrayal.
str_npc10_home_recap|Born on Mandolore. Trained on Mandolore. Don't know where I'll die, but I know it will be in glory.
str_npc11_home_recap|Mine is not a happy story, captain, though you are providing me a better ending than I could have hoped for.
str_npc12_home_recap|Born on Kashyyyk, I was, but the first time I ever saw a Wookiee was after I left. I thought they were just some joke my daddy made up to scare me.
str_npc13_home_recap|I've traveled from as far back as I can remember. I don't even know where I was born, to be honest.
str_npc14_home_recap|I've fought in a hundred battles myself, and I've trained men who fought in a thousand more.
str_npc15_home_recap|I'm from over the hills. But travelling the Galaxy is where the money is to be made, these days, if your trade is siegecraft.
str_npc16_home_recap|Captain, the less you know about me, the better, I promise you.
str_npc17_home_recap|Soy un robot.
str_npc18_home_recap|Soy un robot.
str_npc1_honorific|boss
str_npc2_honorific|{sir/madame}
str_npc3_honorific|{sir/madame}
str_npc4_honorific|{sir/madame}
str_npc5_honorific|{playername} Bahadur
str_npc6_honorific|captain
str_npc7_honorific|captain
str_npc8_honorific|{playername}
str_npc9_honorific|{my good sir/my good lady}
str_npc10_honorific|{Brother/Sister}
str_npc11_honorific|{laddie/lassie} -- I mean Captain
str_npc12_honorific|captain
str_npc13_honorific|oh valorous one
str_npc14_honorific|commander
str_npc15_honorific|captain
str_npc16_honorific|captain
str_npc17_honorific|master
str_npc18_honorific|master
str_comment_intro_liege_affiliated|I am told that you are pledged to one of the pretenders who disputes my claim. But we may still talk.
str_comment_intro_famous_liege|Your fame runs before you! Perhaps it is time that you sought a liege worthy of your valor.
str_comment_intro_famous_martial|Your fame runs before you! Perhaps we shall test each other's valor in a tournament, or on the battlefield!
str_comment_intro_famous_badtempered|I've heard of you. Well, I'm not one for bandying words, so if you have anything to say, out with it.
str_comment_intro_famous_pitiless|I know your name. It strikes fear in men's hearts. That is good. Perhaps we should speak together, some time.
str_comment_intro_famous_cunning|Ah, yes. At last we meet. You sound like a good {man/woman} to know. Let us speak together, from time to time.
str_comment_intro_famous_sadistic|I know your name -- and from what I hear, I'll warrant that many a grieving widow knows too. But that is no concern of mine.
str_comment_intro_famous_goodnatured|I've heard of you! It's very good to finally make your acquaintance.
str_comment_intro_famous_upstanding|I know your name. They say you are a most valiant warrior. I can only hope that your honour and mercy matches your valor.
str_comment_intro_noble_liege|I see that you carry a nobleman's banner, although I do not recognize the device. Know that I am always looking for good men to fight for me, once they prove themselves to be worthy of my trust.
str_comment_intro_noble_martial|I see that you carry a nobleman's banner, but I do not recognize the device. Perhaps one day we shall test each other's valor in a tournament, or on the battlefield!
str_comment_intro_noble_badtempered|I don't recognize the device on your banner. No doubt another foreigner come to our lands, as if we didn't have so many here already.
str_comment_intro_noble_pitiless|I see that you carry a nobleman's banner, but I do not recognize the device. Another vulture come to grow fat on the leftovers of war, no doubt!
str_comment_intro_noble_cunning|I see that you carry a nobleman's banner, but I do not recognize the device. Still, it is always worthwhile to make the acquaintance of {men/women} who may one day prove themselves to be great warriors.
str_comment_intro_noble_sadistic|I see that you carry a nobleman's banner, but I do not recognize the device. Perhaps you are the bastard {son/daughter} of a puffed-up nerf herder? Or perhaps you stole it?
str_comment_intro_noble_goodnatured|I see that you carry a nobleman's banner, but I do not recognize the device. Forgive my ignorance, {sir/madame}! It is good to make your acquaitance.
str_comment_intro_noble_upstanding|I see that you carry a nobleman's banner, but I do not recognize the device. No doubt you have come to this planet in search of wealth and glory. If this indeed is the case, then I only ask that you show mercy to those poor souls caught in the path of war.
str_comment_intro_common_liege|You may be of common birth, but know that I am always looking for good men to fight for me, if they can prove themselves to be worthy of my trust.
str_comment_intro_common_martial|Perhaps you are not of gentle birth, but if you prove yourself a {man/woman} of valor, then I would be pleased to try my strength against yours in the tournament or on the battlefield.
str_comment_intro_common_badtempered|Speak quickly, if you have anything to say, for I have no time to be bandying words with common soldiers of fortune.
str_comment_intro_common_pitiless|You have the look of a mercenary, another vulture come to grow fat on the misery of this land.
str_comment_intro_common_cunning|Well... I have not heard of you, but you have the look of a {man/woman} who might make something of {himself/herself}, some day.
str_comment_intro_common_sadistic|Normally I cut the throats of impudent commoners who barge into my presence uninvited, but I am in a good mood today.
str_comment_intro_common_goodnatured|Well, you look like a good enough sort.
str_comment_intro_common_upstanding|Peace to you, and always remember to temper your valor with mercy, your courage with honour.
str_comment_you_raided_my_village_enemy_benevolent|You have attacked innocent farmers under my protection on the planet of {s51}.  I will punish you for your misdeeds!
str_comment_you_raided_my_village_enemy_spiteful|You have raided the planet of {s51}, destroying my property and killing some citizens. I will take my compensation in blood!
str_comment_you_raided_my_village_enemy_coldblooded|You have raided the planet of {s51}, destroying my property and killing some citizens. I will make you think twice before you disrupt my revenues like that again.
str_comment_you_raided_my_village_enemy|You have raided the planet of {s51}, destroying my property and killing citizens under my protection. You will pay the price for your crime!
str_comment_you_raided_my_village_unfriendly_spiteful|You have raided the planet of {s51}. Do it again and I'll gut you like a fish.
str_comment_you_raided_my_village_friendly|You have raided the planet of {s51}. This will place a grave strain on our friendship.
str_comment_you_raided_my_village_default|You have raided the planet of {s51}. If you continue to behave this way, we may soon come to blows.
str_comment_you_robbed_my_village_enemy_coldblooded|You have robbed the citizens on the planet of {s51}. I take that as a personal insult.
str_comment_you_robbed_my_village_enemy|You have robbed innocent farmers under my protection on the planet of {s51}.  I will punish you for your misdeeds!
str_comment_you_robbed_my_village_friendly_spiteful|I have heard that you pinched some food from the citizens on {s51}. Well, I'll not begrudge you a scrap or two, but keep in mind that I'm the one who must listen to their whining afterward.
str_comment_you_robbed_my_village_friendly|I have heard that you requisitioned supplies from the citizens on {s51}. I am sure that you would not have done so were you not desperately in need.
str_comment_you_robbed_my_village_default|You have robbed the citizens on the planet of {s51}. If you continue to behave this way, we may soon come to blows.
str_comment_you_accosted_my_caravan_enemy|You have been accosting caravans under my protection. But your trail of brigandage will soon come to an end.
str_comment_you_accosted_my_caravan_default|You have been accosting caravans under my protection. This sort of behavior must stop.
str_comment_you_helped_villagers_benevolent|I heard that you gave charity to the citizens on the planet of {s51}. I had been neglectful in my duties as lord and protector, and I appreciate what you have done.
str_comment_you_helped_villagers_friendly_cruel|I heard that you gave charity to the citizens on the planet of {s51}. I appreciate that you meant well, but I'd rather you not undercut my authority like that.
str_comment_you_helped_villagers_friendly|I heard that you gave charity to the citizens on the planet of {s51}. Times are hard, and I know that you mean well, so I will not object to you providing them with assistance.
str_comment_you_helped_villagers_unfriendly_spiteful|I heard that you gave charity to the citizens on the planet of {s51}. As amusing as it is to see you grubbing for favor among my vassals, I would ask you to mind your own business.
str_comment_you_helped_villagers_cruel|I heard that you gave charity to the citizens on the planet of {s51}. As the peasants' lord and protector, it is most properly my duty to assist them in times of hardship. You may mean well, but your actions still undercut my authority. I would thank you to leave them alone.
str_comment_you_helped_villagers_default|I heard that you gave charity to the citizens on the planet of {s51}. Times are hard, and I know that you mean well, but try not to make a habit of it. I am their lord and protector, and I would rather not have them go looking to strangers for assistance.
str_comment_you_captured_a_castle_allied_friendly|I heard that you have besieged and taken {s51}. That was a great dead, and I am proud to call you my friend!
str_comment_you_captured_a_castle_allied_spiteful|I heard that you have besieged and taken {s51}. Good work! Soon, we will have all their fortresses to despoil, their treasuries to ransack, their grieving widows to serve us our wine.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|I heard that you have besieged and taken {s51}. Well, every dog has his day, or so they say. Enjoy it while you can, until your betters kick you back out in the cold where you belong.
str_comment_you_captured_a_castle_allied_unfriendly|I heard that you have besieged and taken {s51}. Whatever our differences in the past, I must offer you my congratulations.
str_comment_you_captured_a_castle_allied|I heard that you have besieged and taken {s51}. We have them on the run!
str_comment_you_captured_my_castle_enemy_spiteful|I hear that you have broken into my home at {s51}. I hope the dungeon is to your liking, as you will be spending much time there in the years to come.
str_comment_you_captured_my_castle_enemy_chivalrous|You hold {s51}, my rightful fief. I hope you will give me the chance to win it back!
str_comment_you_captured_my_castle_enemy|You have something that belongs to me -- {s51}. I will make you relinquish it.
str_comment_we_defeated_a_lord_unfriendly_spiteful|I suppose you will want to drink to the memory of our victory over {s54}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_defeated_a_lord_unfriendly|I will not forget how we fought together against {s54}, but I can also not forget the other matters that lie between us.
str_comment_we_defeated_a_lord_cruel|That was a great victory over {s54}, wasn't it? We made of his army a feast for the crows!
str_comment_we_defeated_a_lord_quarrelsome|I won't forget how we whipped {s54}? I enjoyed that.
str_comment_we_defeated_a_lord_upstanding|I will not forget our victory over {s54}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_defeated_a_lord_default|That was a great victory over {s54}, wasn't it? I am honoured to have fought by your side.
str_comment_we_fought_in_siege_unfriendly_spiteful|I suppose you will want to drink to the memory of our capture of {s51}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_siege_unfriendly|I will not forget how we together we stormed {s51}, but I can also not forget the other matters that lie between us.
str_comment_we_fought_in_siege_cruel|I won't forget how we broke through the walls of {s51} and put its defenders to the sword. It is a sweet memory.
str_comment_we_fought_in_siege_quarrelsome|Remember how the enemy squealed when we came over the walls of {s51}? They had thought they were safe! We wiped the smug smiles of their faces!
str_comment_we_fought_in_siege_upstanding|I will not forget our capture of {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_siege_default|I will not forget how together we captured {s51}. I am honoured to have fought by your side.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|I suppose you will want to drink to the memory of our great victory near {s51}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_major_battle_unfriendly|I will not forget how we fought together in the great battle near {s51}, but I can also not forget the other matters that lie between us.
str_comment_we_fought_in_major_battle_cruel|I won't forget the great battle near {s51}, when we broke through the enemy lines and they ran screaming before us. It is a sweet memory.
str_comment_we_fought_in_major_battle_quarrelsome|That was a fine fight near {s51}, when we made those bastards run!
str_comment_we_fought_in_major_battle_upstanding|I will not forget how we fought side by side at the great battle near {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_major_battle_default|I will not forget how we fought side by side at the great battle near {s51}. I am honoured to have fought by your side.
str_comment_you_defeated_a_lord_allied_liege|So, you crossed swords with that rascal they call {s54}, and emerged victorious. I am very happy to hear that.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|I heard that you fought and defeated {s54}. Every dog has its day, I suppose.
