dlga_start:member_talk|¿Sí?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|Do you know where I can find {s3}, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|If you leave now, you should be able to find them at {s4}. I've no doubt that they will be suitably embarassed by their conduct and give you all the money that is owed.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|Then I will talk to {s3} on your behalf.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Forgive me, {s65}, but I doubt I would be more successful than yourself.
dlga_lord_tell_mission_collect_debt_accepted:close_window|You made me very happy by accepting this {playername}. Please, talk to {s3} and don't leave without my money.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Perhaps not, {playername}. I suppose I'm never getting that money back...
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|I tell you, that blubbering fool {s13} is not fit to rule {s14}. God knows they would be divested of their lands in an instant were it not for one of their loyal vassals, {s15}. As long as they have vassals adding them, it will be a difficult job beating them. So I need to get {s15} out of the picture, and I have a plan just to do that... With your help, naturally.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, I am all ears.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|I don't wish to involve myself in anything dishonourable against {s15}.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Dishonourable? Bah! I was hoping I could count on you, {playername}, but you've shown me what a fool I was. I shall have to find someone whose loyalty I can trust.
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|I have written a fake letter to {s15}, bearing my own seal, which implicates them in a conspiracy with us to stage a coup in {s14}, in my favour. If we can make {s13} believe the letter is genuine, they will deal with {s15} very swiftly. Of course, the challenge there is to convince {s13} that the letter is indeed real...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Please continue, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|No, I will not sully myself with this dishonourable scheme.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|This is where you come into play. You'll take the letter to {s14}, then give it to one of your soldiers and instruct them to take it to {s15}. I will have one of my spies inform the planet garrison so that your man will be arrested on his way. The guards will then find the letter and take it to {s13}. They'll torture your man, of course, to try and get the truth out of them, but all he knows is that you ordered the letter to be delivered to {s15} under the utmost secrecy. {s13} knows you serve me, and the fool will certainly believe the whole charade.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Is that all?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|There is one more thing... Your messenger must be someone trustworthy. If you sent the letter with a simple peasant, someone expendable, {s13} might suspect a plot. He may have the wits of a snail, but even a snail can see the obvious. Give the letter to someone of rank. One of your {s9}, perhaps.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|What? I can't send one of my trusted {s9} to his death!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|Then a {s8} it will be.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Come now, {playername}. There is a place for sentimentality, but this is not it. Believe me, you shall be generously compensated, and what is the purpose of soldiers if not to die at our say-so?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|A {s8} it is.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|No, I'll not sacrifice one of my chosen men.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|I can't tell you how pleased I am to hear that, {playername}. You are removing one of the greatest obstacles in my path. Here is the letter, as well as 300 credits for your expenses. Remember, there'll be more once you succeed. Much, much more...
dlga_lord_tell_mission:lord_mission_told.2|A group of my soldiers were captured in a recent skirmish with the enemy. Thankfully we have a mutual agreement of prisoner exchange, and they will release my men, but they want us to give them prisoners of equal rank and number. Prisoners I don't currently have. So, I need a good {man/warrior} to find me {reg1} {s3} as prisoners, that I may exchange them.
dlga_lord_tell_mission:lord_pretalk|No {playername}. I do not need your help at this time.
dlga_lord_mission_told:lord_mission_accepted|You can count on me, {s65}.
dlga_lord_mission_told:lord_mission_rejected|I fear I cannot accept such a mission at the moment.
dlga_lord_mission_accepted:close_window|Excellent, {playername}, excellent. I have every confidence in you.
dlga_lord_mission_rejected:close_window|Is that so? Well, I suppose you're just not up to the task. I shall have to look for somebody with more mettle.
dlga_lord_talk:lord_leave_prison|I must leave now.
dlga_lord_talk:lord_leave|This audience is over. I leave now.
dlga_lord_talk:lord_leave.1|I must beg my leave.
dlga_lord_leave:lord_leave_give_quest|Before you go, {playername}, I have something to ask of you... We may be enemies in this war, but I pray that you believe, as I do, that we can still be civil towards each other. Thus I hoped that you would be kind enough to assist me in something important to me.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|I am listening.
dlga_enemy_lord_tell_mission:lord_mission_told|I have a friend here, an old warrior, who is very sick. Pestilence has infected an old battle wound, and unless he is seen to by a surgeon soon,  he will surely die. This man is dear to me, {playername}, but he's also stubborn as a hog and refuses to have anyone look at his injury because he doesn't trust the physicians here. I have heard that you've a capable surgeon with you. If you would let your surgeon come here and have a look, {reg3?she:he} may be able to convince them to give their consent to an operation. Please, I will be deeply indebted to you if you grant me this request.
dlga_enemy_lord_tell_mission:close_window|ERROR: MATCHED WITH QUEST: {s7}.
dlga_lord_leave_prison:close_window|We'll meet again.
dlga_lord_leave:close_window|Of course, {playername}. Farewell.
dlga_lord_leave:close_window.1|Good journeys to you, {playername}.
dlga_lord_leave:close_window.2|Yes, yes. Farewell.
dlga_lord_leave:close_window.3|We will meet again.
dlga_member_chat:lady_journey_1|Are you enjoying the journey, {s65}?
dlga_lady_journey_1:close_window|I am doing quite fine, {playername}. Thank you for your concern.
dlga_start:lady_qst_duel_for_lady_succeeded_1|My dear {playername}, how joyous to see you again! I heard you gave that vile {s13} a well-deserved lesson. I hope they never forget their humiliation. I've a reward for you, but I fear it's little compared to what you've done for me.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Oh, it will just have to do.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.1|{s66}, this is far too much!
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.2|Please, {s65}, no reward is necessary.
dlga_lady_qst_duel_for_lady_succeeded_2:lady_pretalk|{s10}
dlga_start:lady_qst_duel_for_lady_failed|I was told that you sought satisfaction from {s13} to prove my innocence, {playername}. It was a fine gesture, and I thank you for your efforts.
dlga_lady_qst_duel_for_lady_failed:lady_qst_duel_for_lady_failed_2|I beg your forgiveness for my defeat, {s65}...
dlga_lady_qst_duel_for_lady_failed_2:lady_pretalk|It matters not, dear {playername}. You tried. The truth cannot be proven at the point of a sword, but you willingly put your life at stake for my honour. That alone will convince many of my innocence.
dlga_start:lady_escort_lady_succeeded|Thank you for escorting me here, {playername}. Please accept this gift as a token of my gratitude. I hope we shall meet again sometime in the future.
dlga_lady_escort_lady_succeeded:close_window|It was an honor to serve you, {s65}.
dlga_start:lady_generic_mission_succeeded|Oh, {playername}, you brought them back to me! Thank you ever so much for rescuing my {s17}. Please, take this as some small repayment for your noble deed.
dlga_lady_generic_mission_succeeded:lady_pretalk|Always an honour to serve, {s65}.
dlga_start:lady_premeet|I say, you don't look familiar...
dlga_lady_premeet:lady_meet|I am {playername}.
dlga_lady_premeet:lady_meet.1|My name is {playername}. At your service.
dlga_lady_meet:lady_meet_end|{playername}? I do not believe I've heard of you before.
dlga_lady_meet_end:lady_talk|Can I help you with anything?
dlga_start:lady_talk|Yes?
dlga_lady_pretalk:lady_talk|Anything else?
dlga_lady_talk:lady_ask_for_quest|Is there anything I can do to win your favour?
dlga_lady_ask_for_quest:lady_pretalk|I don't have anything else for you to do right now.
dlga_lady_ask_for_quest:lady_mission_told|Oh, I fear I may never see my {s17}, {s13}, again... Theyare a prisoner in the dungeon of {s14}. We have tried to negotiate their ransom, but it has been set too high. We can never hope to raise that much money without selling everything we own, and God knows {s13} would rather spend their life in prison than make us destitute. Instead I came up with a plan to get them out of there, but it requires someone to make a great sacrifice, and so far my pleas have fallen on deaf ears...
dlga_lady_ask_for_quest:lady_mission_told.1|My poor {s17}, {s13}, is a prisoner in the {s14} dungeons. The only way we can talk to each other is by exchanging letters whenever we can, but the journey is so dangerous that we get little chance to do so. Please, would you deliver one for me?
dlga_lady_ask_for_quest:lady_quest_duel_for_lady|Dear {playername}, you are kind to ask, but you know little of my troubles and I can't possibly ask you to throw yourself into danger on my behalf.
dlga_lady_quest_duel_for_lady:lady_quest_duel_for_lady_2|Tell me what the problem is, and I can make my own decision.
dlga_lady_quest_duel_for_lady_2:lady_quest_duel_for_lady_3|Very well, as you wish it... My husband has made certain enemies in his life, {playername}. One of the most insidious is {s13}.They are going around making terrible accusations against me, impugning my honour at every turn! Because they cannot harm my husband directly, they are using me as a target to try and stain our name. You should hear the awful things they have said! I only wish there was someone brave enough to make them recant their slander, but {s13} is a very fine fighter, and widely feared...
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_accepted|I fear them not, {s65}. I will make them take back those lies.
dlga_lady_quest_duel_for_lady_3_accepted:close_window|Oh! I can't ask that of you, {playername}, but... I would be forever indebted to you, and you are so sure. It would mean so much if you would defend my honour. Thank you a thousand times, all my prayers and my favour go with you.
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_rejected|If they are that dangerous, perhaps maybe it would be better to ignore them...
dlga_lady_quest_duel_for_lady_3_rejected:close_window|Oh... Perhaps you're right, {playername}. I should let go of these silly childhood ideas of chivalry and courage. {Men/People} are not like that, not anymore. Good day to you.
dlga_lady_ask_for_quest:lady_pretalk.1|No, {playername}, I've no need for a champion right now.
dlga_lady_mission_told:lady_mission_accepted|As you wish it, {s65}, it shall be done.
dlga_lady_mission_told:lady_mission_rejected|{s66}, I fear I cannot help you right now.
dlga_lady_mission_accepted:close_window|You are a true {gentleman/lady}, {playername}. Thank you so much for helping me
dlga_lady_mission_rejected:close_window|You'll not help a woman in need? You should be ashamed, {playername}... Please leave me, I have some important embroidery to catch up.
dlga_lady_talk:lady_restore_relation|I want to improve my relation with a lord. Can you help me?
dlga_lady_restore_relation:lady_pretalk|{playername}, I don't know you well enough to act on your behalf. I am sorry.
dlga_lady_restore_relation:lady_restore_relation_2|Hmm. I guess you got on the wrong side of somebody. Very well, who do you want to restore your relation with?
dlga_lady_restore_relation_2:lady_restore_relation_2b|{s1}
dlga_lady_restore_relation_2:lady_pretalk|Never mind. I get along with everyone well enough.
dlga_lady_restore_relation_2b:lady_restore_relation_3|Well I can try to help you there. I am sure a few expensive gifts will make {s10} look at you more favorably.
dlga_lady_restore_relation_3:lady_restore_relation_4|You can improve your relation with {s10} by sending {reg4?her:him} a gift worth {reg10} credits. But if you can afford spending {reg11} credits on the gift, it would make a good impression on {reg4?her:him}. And if you can go up to {reg12} credits, that would really help smooth things out.
dlga_lady_restore_relation_4:lady_restore_relation_5|I think a gift of {reg10} credits will do.
dlga_lady_restore_relation_4:lady_restore_relation_5.1|Maybe I can afford {reg11} credits.
dlga_lady_restore_relation_4:lady_restore_relation_5.2|In that case, I am ready to spend {reg12} credits.
dlga_lady_restore_relation_4:lady_restore_relation_cant_afford|I don't think I can afford a gift at the moment.
dlga_lady_restore_relation_5:lady_restore_relation_6|Excellent. Then I'll choose an appropriate gift for you and send it to {s10} with your compliments. I am sure {reg4?she:he} will appreciate the gesture.
dlga_lady_restore_relation_6:lady_pretalk|Thank you for your help, madame.
dlga_lady_restore_relation_cant_afford:lady_pretalk|I am afraid, I can't be of much help in that case, {playername}. I am sorry.
dlga_lady_talk:lady_leave|I must beg my leave.
dlga_lady_leave:close_window|Farewell, {playername}.
dlga_convince_begin:convince_options|I still don't see why I should accept what you're asking of me.
dlga_convince_options:convince_bribe|Then I'll make it worth your while. ({reg8} credits)
dlga_convince_options:convince_friendship|Please, do it for the sake of our friendship. (-{reg9} to relation)
dlga_convince_options:convince_persuade_begin|Let me try and convince you. (Persuasion)
dlga_convince_options:lord_pretalk|Never mind.
dlga_convince_bribe:convince_bribe_verify|Mmm, a generous gift to my coffers would certainly help matters... {reg8} credits should do it. If you agree, then I'll go with your suggestion.
dlga_convince_bribe_verify:convince_bribe_cant_afford|I'm afraid my finances will not allow for such a gift.
dlga_convince_bribe_verify:convince_bribe_goon|Very well, please accept these {reg8} credits as a token of my gratitude.
dlga_convince_bribe_verify:convince_begin|Let me think about this some more.
dlga_convince_bribe_cant_afford:convince_options|Ah. In that case, there is little I can do, unless you have some further argument to make.
dlga_convince_bribe_goon:convince_accept|My dear {playername}, your generous gift has led me to reconsider what you ask, and I have come to appreciate the wisdom of your proposal.
dlga_convince_friendship:convince_friendship_verify|You've done well by me in the past, {playername}, and for that I will go along with your request, but know that I do not like you using our relationship this way.
dlga_convince_friendship_verify:convince_friendship_go_on|I am sorry, my friend, but I need your help in this.
dlga_convince_friendship_verify:lord_pretalk|If it will not please you, then I'll try something else.
dlga_convince_friendship_go_on:convince_accept|All right then, {playername}, I will accept this for your sake. But remember, you owe me for this.
dlga_convince_friendship:lord_pretalk|I don't think I owe you such a favor {playername}. I see no reason to accept this for you.
dlga_convince_friendship:lord_pretalk.1|Is this a joke? You've some nerve asking me for favours, {playername}, and let me assure you you'll get none.
dlga_convince_persuade_begin:convince_persuade_begin_2|Very well. Make your case.
dlga_convince_persuade_begin_2:convince_persuade|[Attempt to persuade]
dlga_convince_persuade_begin_2:convince_begin|Wait, perhaps there is another way to convince you.
dlga_convince_persuade_begin:lord_pretalk|By God's grace, {playername}! Haven't we talked enough already? I am tired of listening to you, and I do not want to hear any more of it right now.
dlga_convince_persuade:convince_accept|All right, all right. You have persuaded me to it. I'll go ahead with what you suggest.
dlga_convince_persuade:convince_options|You've a point, {playername}, I'll admit that much. However I am not yet convinced I should do as you bid.
dlga_convince_persuade:convince_options.1|Enough, {playername}. You've a lot of arguments, but I find none of them truly convincing. I stand by what I said before.
dlga_convince_persuade:convince_options.2|Truthfully, {playername}, I fail to see the virtue of your reasoning. What you ask for makes even less sense now than it did before.
dlga_start:siege_won_seneschal_1|I must congratulate you on your victory, my {lord/lady}. Welcome to {s1}. We, the housekeepers of this castle, are at your service.
dlga_siege_won_seneschal_1:siege_won_seneschal_2|Are you the seneschal?
dlga_siege_won_seneschal_2:siege_won_seneschal_3|Indeed I am, my {lord/lady}. I have always served the masters of {s1} to the best of my ability, whichever side they might be on. Thus you may count on my utmost loyalty for as long as you are the {lord/lady} of this place. Now, do you intend to keep me on as the seneschal? I promise you will not be disappointed.
dlga_siege_won_seneschal_3:siege_won_seneschal_4|Very well, you may keep your post for the time being.
dlga_siege_won_seneschal_3:siege_won_seneschal_4.1|You can stay, but I shall be keeping a close watch on you.
dlga_siege_won_seneschal_4:siege_won_seneschal_5|Thank you, my {lord/lady}. If you do not mind my impudence, may I inquire as to what you wish to do with the castle?
dlga_siege_won_seneschal_5:siege_won_seneschal_6|I will sell it to another lord.
dlga_siege_won_seneschal_5:siege_won_seneschal_6.1|I intend to claim it for myself.
dlga_siege_won_seneschal_5:siege_won_seneschal_list_options|I haven't given it much thought. What are my options?
dlga_siege_won_seneschal_list_options:siege_won_seneschal_list_options_2|According to our laws and traditions, you can do one of several things. First, you could station a garrison here to protect the castle from any immediate counterattacks, then request an audience with some wealthy lord and ask them to make you an offer. It would be worth a tidy sum, believe you me. If you do not wish to sell, then you will have to find yourself a liege lord and protector who would accept homage from you. Without a royal investiture and an army at your back, you would have a difficult time holding on to the castle. Both you and {s1} would become great big targets for any one with a few soldiers and a scrap of ambition. 
dlga_siege_won_seneschal_list_options_2:siege_won_seneschal_list_options_3|What do you mean, a liege lord and protector? I won this place by my own hand, I don't need anyone else!
dlga_siege_won_seneschal_list_options_3:siege_won_seneschal_list_options_4|Of course you don't, my {lord/lady}. However, no lord in the land will recognize your claim to the castle unless it is verified by royal decree. They would call {s1} an outlaw stronghold and take it from you at the earliest opportunity. Surely not even you could stand against a whole army.
dlga_siege_won_seneschal_list_options_4:siege_won_seneschal_6|Hmm. I'll give it some thought.
dlga_siege_won_seneschal_6:close_window|I am very pleased to hear it, my {lord/lady}. I am only trying to serve you to the best of my ability. Now, if at any time you find you have further need of me, I will be in the great hall arranging a smooth handover of the castle to your forces. 
dlga_start:seneschal_intro_1|Good day, {sir/madam}. I do nott believe I've seen you here before. Let me extend my welcome to you as the seneschal of {s1}.
dlga_seneschal_intro_1:seneschal_intro_1a|A pleasure to meet you, {s65}.
dlga_seneschal_intro_1a:seneschal_talk|How can I help you?
dlga_seneschal_intro_1:seneschal_intro_1b|What exactly do you do here?
dlga_seneschal_intro_1b:seneschal_talk|Ah, a seneschal's duties are many, good {sire/woman}. For example, I collect the rents from my lord's estates, I manage the castle's storerooms, I deal with the local peasantry, I take care of castle staff, I arrange supplies for the garrison... All mundane matters on this fief are my responsibility, on behalf of my lord. Everything except commanding the soldiers themselves.
dlga_start:seneschal_talk|Good day, {sir/madam}.
dlga_seneschal_pretalk:seneschal_talk|Anything else?
dlga_seneschal_talk:seneschal_ask_something|I would like to ask you a question...
dlga_seneschal_talk:seneschal_ask_about_someone|I wish to know more about someone...
dlga_seneschal_ask_about_someone:seneschal_ask_about_someone_2|Perhaps I may be able to help. Whom did you have in mind?
dlga_seneschal_ask_about_someone_2:seneschal_ask_about_someone_3|{s1}
dlga_seneschal_ask_about_someone_2:seneschal_pretalk|Never mind.
dlga_seneschal_ask_about_someone_3:seneschal_ask_about_someone_4|{s2}{s1}
dlga_seneschal_ask_about_someone_relation:seneschal_ask_about_someone_4|{reg1?She:He} hates {s51}.
dlga_seneschal_ask_about_someone_4:seneschal_ask_about_someone_relation|Where does {s1} stand with others?.
dlga_seneschal_ask_about_someone_4:seneschal_pretalk|My thanks, that was helpful.
dlga_seneschal_talk:close_window|I must take my leave of you now. Farewell.
dlga_seneschal_ask_something:seneschal_ask_something_2|I'll do what I can to help, of course. What did you wish to ask?
dlga_seneschal_ask_something_2:seneschal_ask_location|Perhaps you know where to find someone...
dlga_seneschal_ask_location:seneschal_ask_location_2|Well, a man in my position does hear a lot of things. Of whom were you thinking?
dlga_seneschal_ask_location_2:seneschal_ask_location_3|{s1}
dlga_seneschal_ask_location_2:seneschal_pretalk|Never mind.
dlga_seneschal_ask_location_3:seneschal_pretalk|{s1}
dlga_start:close_window.4|There! I can see the walls of {s3} in the distance. We've made it safely. Here, take this purse of {reg3} credits, as I promised. I hope we can travel together again someday.
dlga_start:talk_caravan_escort|We've made it this far... Is everything clear up ahead?
dlga_talk_caravan_escort:talk_caravan_escort_2a|There might be bandits nearby. Stay close.
dlga_talk_caravan_escort_2a:close_window|Trust me, {playername}, we're already staying as close to you as we can. Lead the way.
dlga_talk_caravan_escort:talk_caravan_escort_2b|No sign of trouble, we can breathe easy.
dlga_talk_caravan_escort_2b:close_window|I'll breathe easy when we reach {s1} and not a moment sooner. Let's keep moving.
dlga_start:merchant_talk|What do you want? We paid our toll to you less than three days ago.
dlga_start:merchant_talk.1|Hail, friend.
dlga_start:merchant_talk.2|What do you want? We are but simple merchants, we've no quarrel with you, so leave us alone.
dlga_start:merchant_talk.3|Be warned, knave! This caravan is under the protection of {s9}. Step out of our way or you will face his fury!
dlga_start:merchant_talk.4|Yes? What do you want?
dlga_merchant_pretalk:merchant_talk|Anything else?
dlga_merchant_talk:caravan_start_war_quest_1|You are trespassing in {s17} territory. I am confiscating this caravan and all its goods!
dlga_caravan_start_war_quest_1:caravan_start_war_quest_2|What? What nonsense is this? We are nowhere near your territory, {mate/wench}, and moreover we have a peace treaty with {s17}!
dlga_caravan_start_war_quest_2:merchant_attack|We'll see about that! Defend yourselves!
dlga_caravan_start_war_quest_2:close_window|Never mind, 'twas but a joke. Farewell.
dlga_merchant_talk:merchant_talk_offer|I have an offer for you.
dlga_merchant_talk_offer:merchant_talk_offer_2|What is it?
dlga_merchant_talk_offer_2:caravan_offer_protection|I can escort you to your destination for a price.
dlga_merchant_talk_offer_2:merchant_pretalk|Nothing. Forget it
dlga_merchant_talk:merchant_demand|I demand something from you!
dlga_merchant_demand:merchant_demand_2|What do you want?
dlga_merchant_demand_2:merchant_demand_toll|There is a toll for free passage here!
dlga_merchant_demand_toll:merchant_demand_toll_2|Please, I don't want any trouble. I can give you {reg6} credits, just let us go.
dlga_merchant_demand_toll:merchant_demand_toll_2.1|I don't want any trouble. I can give you {reg6} credits if you'll let us go.
dlga_merchant_demand_toll_2:merchant_demand_toll_accept|Agreed, hand it over and you may go in peace.
dlga_merchant_demand_toll_accept:close_window|Very well then. Here's {reg6} credits. 
dlga_merchant_demand_toll_2:merchant_pretalk|I changed my mind, I can't take your money.
dlga_merchant_demand_toll_2:merchant_attack|No, I want everything you have! [Attack]
dlga_merchant_demand_2:merchant_attack_begin|Hand over your gold and valuables now!
dlga_merchant_demand_2:merchant_pretalk|Nothing. Forget it.
dlga_merchant_attack_begin:merchant_attack_verify|Are you robbing us?
dlga_merchant_attack_verify:merchant_attack_verify_norob|Robbing you? No, no! It was a joke.
dlga_merchant_attack_verify_norob:close_window|God, don't joke about that, {lad/lass}. For a moment I thought we were in real trouble.
dlga_merchant_attack_verify:merchant_attack|Of course I'm robbing you. Now hand over your goods.
dlga_merchant_attack:close_window|Damn you, you won't get anything from us without a fight!
dlga_caravan_offer_protection:caravan_offer_protection_2|These roads are dangerous indeed. One can never have enough protection.
dlga_caravan_offer_protection_2:close_window|An escort? We're almost there already! Thank you for the offer, though.
dlga_caravan_offer_protection_2:caravan_offer_protection_3|We are heading to {s1}. I will pay you {reg2} credits if you escort us there.
dlga_caravan_offer_protection_3:caravan_offer_protection_4|Agreed.
dlga_caravan_offer_protection_4:caravan_offer_protection_5|I want you to stay close to us along the way. We'll need your help if we get ambushed by bandits.
dlga_caravan_offer_protection_5:caravan_offer_protection_6|Don't worry, you can trust me.
dlga_caravan_offer_protection_6:close_window|Good. Come and collect your money when we're within sight of {s1}. For now, let's just get underway.
dlga_caravan_offer_protection_3:caravan_offer_protection_4b|Forget it.
dlga_caravan_offer_protection_4b:close_window|Perhaps another time, then.
dlga_merchant_talk:talk_caravan_enemy_2|Not so fast. First, hand over all your goods and money.
dlga_talk_caravan_enemy_2:close_window|Never. It is our duty to protect these goods. You shall have to fight us, brigand!
dlga_merchant_talk:close_window|[Leave]
dlga_start:prison_guard_players|Good day, my {lord/lady}. Will you be visiting the prison?
dlga_prison_guard_players:close_window|Yes. Unlock the door.
dlga_prison_guard_players:close_window.1|No, not now.
dlga_start:prison_guard_talk|Yes? What do you want?
dlga_prison_guard_talk:prison_guard_ask_prisoners|Who is imprisoned here?
dlga_prison_guard_talk:prison_guard_visit_prison|I want to speak with a prisoner.
dlga_prison_guard_ask_prisoners:prison_guard_talk|Currently, {s51} {reg1?are:is} imprisoned here.
dlga_prison_guard_visit_prison:close_window|Of course, {sir/madam}. Go in.
dlga_prison_guard_visit_prison:prison_guard_visit_prison_2|You need to get permission from the lord to talk to prisoners.
dlga_prison_guard_visit_prison_2:close_window|All right then. I'll try that.
dlga_prison_guard_visit_prison_2:prison_guard_visit_prison_3|Come on now. I thought you were the boss here.
dlga_prison_guard_visit_prison_3:prison_guard_visit_prison_4|He-heh. You got that right. Still, I can't let you into the prison.
dlga_prison_guard_visit_prison_4:close_window|All right then. I'll leave now.
dlga_prison_guard_visit_prison_4:prison_guard_visit_prison_5|I found a purse with 100 credits a few paces away. I reckon it belongs to you.
dlga_prison_guard_visit_prison_5:close_window|Ah! I was looking for this all day. How good of you to bring it back {sir/madam}. Well, now that I know what an honest {man/lady} you are, there can be no harm in letting you inside. Go in.
dlga_prison_guard_talk:close_window|Never mind.
dlga_start:castle_guard_players|Your orders, {Lord/Lady}?
dlga_castle_guard_players:close_window|Open the door. I'll go in.
dlga_castle_guard_players:close_window.1|Never mind.
dlga_start:castle_guard_sneaked_intro_1|Get out of my sight, beggar! You stink!
dlga_start:close_window.5|Get lost before I lose my temper you vile beggar!
dlga_castle_guard_sneaked_intro_1:castle_guard_sneaked_intro_2|I want to enter the hall and speak to the lord.
dlga_castle_guard_sneaked_intro_1:close_window|[Leave]
dlga_castle_guard_sneaked_intro_2:close_window|Are you out of your mind, {man/woman}? Beggars are not allowed into the hall. Now get lost or I'll beat you bloody.
dlga_start:castle_guard_intro_1|What do you want?
dlga_castle_guard_intro_1:castle_guard_intro_2|I want to enter the hall and speak to the lord.
dlga_castle_guard_intro_1:close_window|Never mind.
dlga_castle_guard_intro_2:castle_guard_intro_2|You can go in after leaving your weapons with me. No one is allowed to carry arms into the main hall.
dlga_castle_guard_intro_2:close_window|Here, take my arms. I'll go in.
dlga_castle_guard_intro_2:castle_guard_intro_2b|No, I give my arms to no one.
dlga_castle_guard_intro_2b:close_window|Then you can't go in.
dlga_start:castle_gate_guard_talk|What do you want?
dlga_castle_gate_guard_pretalk:castle_gate_guard_talk|Yes?
dlga_castle_gate_guard_talk:castle_gate_open|We need shelter for the night. Will you let us in?
dlga_castle_gate_guard_talk:request_meeting_castle_lord|I want to speak with the lord of the castle.
dlga_castle_gate_guard_talk:request_meeting_other|I want to speak with someone in the castle.
dlga_castle_gate_guard_talk:close_window|[Leave]
dlga_request_meeting_castle_lord:close_window|Wait here. {s2} will see you.
dlga_request_meeting_castle_lord:castle_gate_guard_pretalk|My lord is not here now.
dlga_request_meeting_other:request_meeting_3|Who is that?
dlga_request_meeting_3:request_meeting_4|{s3}
dlga_request_meeting_3:close_window|Never mind.
dlga_request_meeting_4:request_meeting_5|Wait there. I'll send them your request.
dlga_request_meeting_5:request_meeting_6|I'm waiting...
dlga_request_meeting_6:close_window|All right. {s2} will talk to you now.
dlga_request_meeting_6:close_window.1|{s2} says he will not see you. Begone now.
dlga_castle_gate_open:close_window|My lord {s2} will be happy to see you {sir/madam}. Come on in. I am lowering the shields for you.
dlga_castle_gate_open:close_window.1|My lord {s2} is not in the castle now. But I think he would approve of you taking shelter here. Come on in. I am lowering the shields for you.
dlga_castle_gate_open:close_window.2|Come on in. I am lowering the shields for you.
dlga_castle_gate_open:close_window.3|Come on in. But make sure your men behave sensibly within the walls. My lord {s2} does not want trouble here.
dlga_castle_gate_open:close_window.4|My lord {s2} does not want you here. Begone now.
dlga_start:close_window.6|You have come just in time. Let us join our forces now and teach our enemy a lesson.
dlga_start:close_window.7|You are making a big mistake by fighting against us.
dlga_start:ally_thanks_meet|I don't think we have met properly my friend. You just saved my life out there, and I still don't know your name...
dlga_start:ally_thanks_meet.1|Your help was most welcome stranger. My name is {s1}. Can I learn yours?
dlga_start:ally_thanks_meet.2|Thanks for your help, stranger. We haven't met properly yet, have we? What is your name?
dlga_ally_thanks_meet:ally_thanks_meet_2|My name is {playername}.
dlga_ally_thanks_meet_2:close_window|Well met indeed {playername}. My name is {s1} and I am forever in your debt. If there is ever anything I can help you with, just let me know...
dlga_ally_thanks_meet_2:close_window.1|Well met {playername}. I am in your debt for what you just did. I hope one day I will find a way to repay it.
dlga_ally_thanks_meet_2:close_window.2|Well met {playername}. I am {s1}. Thanks for your help and I hope we meet again.
dlga_start:close_window.8|Again you save our necks, {playername}! Truly, you are the best of friends. {s43}
dlga_start:close_window.9|You arrived just in the nick of time! {playername}. You have my deepest thanks! {s43}
dlga_start:close_window.10|You turned up just in time, {playername}. I will not forget your help. {s43}
dlga_start:close_window.11|Good to see you here, {playername}. {s43}
dlga_start:close_window.12|{s43}
dlga_start:close_window.13|{s43}
dlga_start:close_window.14|Thank you for your help {sir/madam}. You saved {reg1?our lives:my life} out there.
