1039
qstr_X:_00Y:_00 X:_00,Y:_00
qstr_foot foot
qstr_our_own_weapons our_own_weapons
qstr_a_vibrosword_and_ene a_vibrosword_and_energy_shield
qstr_two_handed_weapons two-handed_weapons
qstr_mandalorian_armor_an mandalorian_armor_and_ranged_weapons
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_suceeded_in_ we_have_suceeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr_My_weapon_slot_upgra My_weapon_slot_upgrades_are_as_follows:_{s0}
qstr_Is_this_satisfactory Is_this_satisfactory?
qstr_Select_the_type_of_i Select_the_type_of_item_for_slot_{reg1}.
qstr__no_territories_ (no_territories)
qstr__territories:_{s0}_ (territories:_{s0})
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause._But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope._However,_thanks_to_you,_we_have_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}._There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those._And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr_{s6}_has_joined_your_ {s6}_has_joined_your_party.
qstr_I_am_{s4}_the_ruler_ I_am_{s4},_the_ruler_of_{s6}
qstr_I_am_{s4}_a_vassal_o I_am_{s4},_a_vassal_of_{s6}
qstr_{s9}{reg5?_and_the_l {s9}{reg5?_and_the_lord_of_{s8}.:.
qstr_Your_mission_is_comp Your_mission_is_complete,_{s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_Your_mission_is_compl Your_mission_is_complete,_{s9}_wants_you_to_resume_following_his_fleet_until_further_notice.
qstr_{s13}_asked_you_to_g {s13}_asked_you_to_gather_a_herd_of_{reg3}_nerfs_and_deliver_them_back_to_them.
qstr_{s9}_asked_you_to_sc {s9}_asked_you_to_scout_{s13},_{s14}_and_{s15},_then_report_back.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{s16}_{s17} {s16},_{s17}
qstr_Very_well_I_will_acc Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us,_I_am_not_interested.
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr_Prior_argument_effec Prior_argument_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Rebellion_chance__30 Rebellion_chance_-30_from_rival_=_{reg7}
qstr_Consistency_check:_{ Consistency_check:_{reg10}/{reg11}
qstr_Current_argument_eff Current_argument_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Persuasion_effect:_{ Persuasion_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Personal_relation_ef Personal_relation_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Rebellion_check:_{re Rebellion_check:_{reg6}
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_{s14}.
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_planet_of_{s15}_and_then_report_back_to_them.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_back.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_collect_taxes_from_{s3}._They_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_at_{s3}.
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_merchant_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s9}_asked_you_to_ca {s9}_asked_you_to_capture_and_loot_{reg13}_convoys_so_as_to_provoke_a_war_with_{s13}.
qstr_{s9}_asked_you_to_cat {s9}_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_{s4},_alive_and_breathing._They_said_that_all_three_groups_are_heading_towards_{s3}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_commander_from_{s13},_any_commander,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_them_for_a_week.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_the_debt_of_{reg4}_credits_{s3}_owed_to_them._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_datacard_to_fool_{s13}_into_banishing_his_vassal_{s16}._You_are_to_go_near_{s14},_give_the_datacard_to_one_of_your_{s15}_and_send_them_to_the_planet_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_them_{reg1}_{s3}_as_prisoners.
qstr_Lend_your_experience Lend_your_experienced_surgeon_{s3}_to_{s1}.
qstr_Then_take_it_with_my Then_take_it,_with_my_eternal_thanks._You_are_a_noble_{man/woman}._I_will_never_forget_that_you_helped_me_in_my_time_of_need.
qstr_Forgive_me_{playerna Forgive_me,_{playername},_but_I_must_insist_you_accept_it._The_money_means_little_to_me,_and_I_owe_you_so_much._Here,_take_it,_and_let_us_speak_no_more_of_this.
qstr_{playername}_what_a_ {playername},_what_a_dear_{man/woman}_you_are,_but_I_will_not_allow_you_to_refuse_this._I_owe_you_far_more_than_I_can_say,_and_I_am_sure_you_can_put_this_money_to_far_better_use_than_I.
qstr_{s11}_asked_you_to_r {s11}_asked_you_to_rescue_her_{s17},_{s13},_from_{s14}_by_switching_clothes_and_taking_their_place_in_prison.
qstr_{s11}_asked_you_to_d {s11}_asked_you_to_deliver_a_message_to_{s13},_who_is_imprisoned_at_{s14}.
qstr_You_agreed_to_challe You_agreed_to_challenge_{s13}_to_defend_{s11}'s_honour.
qstr_{s5}__Persuasion_str {s5}_(Persuasion_strength:_{reg5})
qstr_Persuasion_Attempt Persuasion_Attempt
qstr_The_{s9}_at_{s5}_ask The_{s9}_at_{s5}_asked_you_to_eliminate_a_CIS_officer_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_The_{s9}_at_{s5}_aske The_{s9}_at_{s5}_asked_you_to_hunt_down_a_farmer_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_The_{s9}_at_{s5}_asked The_{s9}_at_{s5}_asked_you_to_hunt_down_a_target_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_The_{s9}_at_{s5}_asked_ The_{s9}_at_{s5}_asked_you_to_hunt_down_a_pirate_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_The_{s9}_at_{s5}_asked_y The_{s9}_at_{s5}_asked_you_to_hunt_down_a_bountyhunter_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_The_{s9}_at_{s5}_asked_yo The_{s9}_at_{s5}_asked_you_to_hunt_down_a_smuggler_named_{s4}._They_are_currently_believed_to_be_at_{s3}.
qstr_A_citizen_from_{s7}_ A_citizen_from_{s7}_begged_you_to_save_their_planet_from_the_pirates_that_took_refuge_there.
qstr_You_chose_well_{sir/ You_chose_well,_{sir/madam}._My_lads_know_how_to_keep_their_word_and_earn_their_pay.
qstr_Well_done_{sir/madam Well_done,_{sir/madam}._Keep_the_credits_and_wine_coming_our_way,_and_there's_no_foe_in_the_Galaxy_you_need_fear.
qstr_We_are_at_your_servi We_are_at_your_service,_{sir/madam}._Point_us_in_the_direction_of_those_who_need_hurting,_and_we'll_do_the_rest.
qstr_You_will_not_be_diss You_will_not_be_dissapointed_{sir/madam}._You_will_not_find_better_warriors_in_all_of_the_Galaxy.
qstr_town town
qstr_village village
qstr_The_administrator_of The_administrator_of_{s13}_has_asked_you_to_deal_with_jawas_in_the_surrounding_system.
qstr_{s9}_of_{s3}_asked_y {s9}_of_{s3}_asked_you_to_deliver_{reg5}_units_of_{s6}_to_the_cantina_in_{s4}_in_7_days.
qstr_Escort_the_merchant_ Escort_the_merchant_convoy_to_the_planet_of_{s8}.
qstr_Merchant_{s9}_of_{s4 Merchant_{s9}_of_{s4}_asked_you_to_hunt_down_the_troublesome_bandits_in_the_vicinity_of_their_planet.
qstr_Administrator_of_{s4 Administrator_of_{s4}_gave_you_{reg12}_credits_to_pay_the_ransom_of_a_girl_kidnapped_by_bandits._You_are_to_meet_the_bandits_near_{s3}_and_pay_them_the_ransom_fee._After_that_you_are_to_bring_the_girl_back_to_{s4}.
qstr_Administrator_of_{s4} Administrator_of_{s4}_promised_you_{reg12}_credits_if_you_can_make_sure_that_{s12}_and_{s13}_no_longer_pose_a_threat_to_peace_between_{s15}_and_{s14}._In_order_to_do_that,_you_must_either_convince_them_or_make_sure_they_fall_captive_and_remain_so_until_a_peace_agreement_is_made.
qstr_The_Administrator_of The_Administrator_of_{s14}_has_asked_you_to_deal_with_a_group_of_bandits_terrorising_the_streets_of_{s14}._They_only_come_out_at_night,_and_only_attack_lone_travellers_on_the_streets.
qstr_Administrator_of_{s1 Administrator_of_{s10}_asked_you_to_move_a_nerf_herd_to_{s13}._You_will_earn_{reg8}_credits_in_return.
qstr_He_is_not_commanding He_is_not_commanding_any_troops_at_the_moment.
qstr_He_currently_command He_currently_commands_{reg0}_troops{reg1?,_of_which_around_{reg1}_are_wounded:}.
qstr_The_administrator_of_ The_administrator_of_the_planet_of_{s3}_asked_you_to_bring_them_{reg5}_packs_of_wheat.
qstr_The_administrator_of_t The_administrator_of_the_planet_of_{s13}_asked_you_to_train_{reg5}_peasants_to_fight_against_local_bandits.
qstr_The_administrator_of_th The_administrator_of_the_planet_of_{s3}_asked_you_to_bring_them_{reg5}_nerfs.
qstr_{s16}_and_{s15} {s16}_and_{s15}
qstr_{s16}_{s15} {s16},_{s15}
qstr_I_can_smell_a_rich_t I_can_smell_a_rich_traveller_a_mile_away._Methinks_yours_could_do_with_some_lightening,_eh?
qstr_Why_it_be_another_tr Why,_it_be_another_traveller,_chance_met_upon_the_way!_I_should_warn_you,_the_Galaxy's_a_mite_dangerous_for_a_good_{fellow/woman}_like_you._But_for_a_small_donation_my_boys_and_I'll_make_sure_you_get_rightways_to_your_destination,_eh?
qstr_Well_well_look_at_th Well_well,_look_at_this!_You'd_best_start_coughing_up_some_credits,_friend,_or_me_and_my_boys'll_have_to_break_you.
qstr_There_s_a_toll_for_p There's_a_toll_for_passin'_through_this_sector,_payable_to_us,_so_if_you_don't_mind_we'll_just_be_collectin'_our_due_from_your_account...
qstr_Another_fool_come_to Another_fool_come_to_throw_{him/her}self_on_my_weapon,_eh?_Fine,_let's_fight!
qstr_We_re_not_afraid_of_ We're_not_afraid_of_you._Time_to_bust_some_heads!
qstr_That_was_a_mistake._ That_was_a_mistake._Now_I'm_gonna_have_to_make_your_death_long_and_painful.
qstr_That_s_fighting_talk That's_fighting_talk._Let's_see_you_back_it_up_with_your_blaster!
qstr_A_{s5}?_Well..._Yes_ A_{s5}?_Well..._Yes,_I_suppose_it_is._What_a_strange_thing_to_ask.
qstr_Eh?_No_it_most_certa Eh?_No,_it_most_certainly_is_not_a_{s5}._I'd_start_questioning_my_eyesight_if_I_were_you.
qstr_This_is_the_{reg4?to This_is_the_{reg4?town:village}_of_{s5},_{sir/madam}.
qstr_{s6}_Our_{reg4?town: {s6}_Our_{reg4?town:village}_and_the_surrounding_lands_belong_to_you_of_course.
qstr_{s6}_Our_{reg4?town:v {s6}_Our_{reg4?town:village}_and_the_surrounding_lands_belong_to_{s7}_of_{s8}.
qstr_{s3}_and_{s5} {s3}_and_{s5}
qstr_{s3}_{s5} {s3},_{s5}
qstr_{reg20?We_mostly_pro {reg20?We_mostly_produce_{s5}_here:We_don't_produce_much_here_these_days}._If_you_would_like_to_learn_more,_you_can_speak_with_our_planet_{reg4?administrator:administrator}._He_is_nearby,_right_over_there.
